promoted,ties,points,goals_against,name,relegated,goal_diff,goals_scored,losses,o_rating,global_d,current_wins,current_losses,wins,win_league,global_rating,sdr_id,make_europa,position_1,id,make_champs,global_o,make_playoffs,d_rating,current_points,code,current_ties,current_time,last_updated
0.0,7.26385,41.71225,55.98125,FC Sion,0.0,-7.5125,48.46875,17.25335,1.2589299999999999,1.37473,11.0,17.0,11.4828,0.0,42.30392,74196,0.0,0.0,3076,0.0,1.23299,0.0,1.34879,40.0,SION,7.0,2019-06-04 01:01,2019-05-25 18:58
0.0,4.0,46.0,61.0,FC Luzern,0.0,-5.0,56.0,18.0,1.6621,1.42124,14.0,18.0,14.0,0.0,50.68777,108331,0.0,0.0,7640,0.0,1.63616,0.0,1.3953,46.0,FCL,4.0,2019-06-04 01:01,2019-05-25 18:58
0.0,10.0,37.0,65.0,Neuchatel Xamax,0.49995,-21.0,44.0,17.0,1.20243,1.52531,9.0,17.0,9.0,0.0,37.77664,74198,0.0,0.0,7698,0.0,1.17649,0.0,1.49937,37.0,NEU,10.0,2019-06-04 01:01,2019-05-25 18:58
0.0,10.26385,26.0239,69.46875,Grasshoppers Zürich,1.0,-36.4875,32.98125,20.4828,0.98321,1.78157,5.0,20.0,5.25335,0.0,27.78236,74189,0.0,0.0,492,0.0,0.95727,0.0,1.75563,25.0,GCZ,10.0,2019-06-04 01:01,2019-05-25 18:58
0.0,7.0,46.0,58.0,St Gallen,0.0,-9.0,49.0,16.0,1.44001,1.40562,13.0,16.0,13.0,0.0,45.98817,74191,0.0,0.0,557,0.0,1.4140700000000002,0.0,1.37968,46.0,FCSG,7.0,2019-06-04 01:01,2019-05-25 18:58
0.0,11.0,44.0,52.0,FC Zurich,0.0,-9.0,43.0,14.0,1.14648,1.3231,11.0,14.0,11.0,0.0,40.597,74192,0.0,0.0,3019,0.0,1.12054,0.0,1.29716,44.0,ZUR,11.0,2019-06-04 01:01,2019-05-25 18:58
0.0,4.0,91.0,36.0,Young Boys,0.0,63.0,99.0,3.0,2.66227,1.08192,29.0,3.0,29.0,1.0,75.91136,74194,0.0,1.0,2722,1.0,2.63633,0.0,1.05598,91.0,BSCY,4.0,2019-06-04 01:01,2019-05-25 18:58
0.0,11.0,71.0,46.0,Basel,0.0,25.0,71.0,5.0,2.1513,1.00454,20.0,5.0,20.0,0.0,69.71226,93159,0.0,0.0,989,1.0,2.12536,0.0,0.9786,71.0,BAS,11.0,2019-06-04 01:01,2019-05-25 18:58
0.0,10.0,46.0,58.0,Thun,0.0,-1.0,57.0,14.0,1.3841,1.5842,12.0,14.0,12.0,0.0,40.92562,83492,0.0,0.0,3024,0.0,1.35816,0.0,1.55826,46.0,THUN,10.0,2019-06-04 01:01,2019-05-25 18:58
0.0,16.0,46.0,49.0,FC Lugano,0.0,1.0,50.0,10.0,1.37931,1.24774,10.0,10.0,10.0,0.0,48.0751,109490,0.0,0.0,7672,0.0,1.35337,0.0,1.2218,46.0,FCL,16.0,2019-06-04 01:01,2019-05-25 18:58
0.0,7.26385,41.71225,55.98125,FC Sion,0.0,-7.5125,48.46875,17.25335,1.25893,1.37473,11.0,17.0,11.4828,0.0,42.30392,74196,0.0,0.0,3076,0.0,1.23299,0.0,1.34879,40.0,SION,7.0,2019-06-04 01:01,2019-05-25 18:58
0.0,4.0,46.0,61.0,FC Luzern,0.0,-5.0,56.0,18.0,1.6621,1.42124,14.0,18.0,14.0,0.0,50.68777,108331,0.0,0.0,7640,0.0,1.63616,0.0,1.3953,46.0,FCL,4.0,2019-06-04 01:01,2019-05-25 18:58
0.0,10.0,37.0,65.0,Neuchatel Xamax,0.49995,-21.0,44.0,17.0,1.2024299999999999,1.52531,9.0,17.0,9.0,0.0,37.77664,74198,0.0,0.0,7698,0.0,1.17649,0.0,1.49937,37.0,NEU,10.0,2019-06-03 01:01,2019-05-25 18:58
0.0,10.26385,26.0239,69.46875,Grasshoppers Zürich,1.0,-36.4875,32.98125,20.4828,0.98321,1.78157,5.0,20.0,5.25335,0.0,27.782359999999997,74189,0.0,0.0,492,0.0,0.9572700000000001,0.0,1.75563,25.0,GCZ,10.0,2019-06-03 01:01,2019-05-25 18:58
0.0,7.0,46.0,58.0,St Gallen,0.0,-9.0,49.0,16.0,1.44001,1.40562,13.0,16.0,13.0,0.0,45.988170000000004,74191,0.0,0.0,557,0.0,1.4140700000000002,0.0,1.37968,46.0,FCSG,7.0,2019-06-03 01:01,2019-05-25 18:58
0.0,11.0,44.0,52.0,FC Zurich,0.0,-9.0,43.0,14.0,1.14648,1.3231,11.0,14.0,11.0,0.0,40.597,74192,0.0,0.0,3019,0.0,1.1205399999999999,0.0,1.29716,44.0,ZUR,11.0,2019-06-03 01:01,2019-05-25 18:58
0.0,4.0,91.0,36.0,Young Boys,0.0,63.0,99.0,3.0,2.66227,1.08192,29.0,3.0,29.0,1.0,75.91136,74194,0.0,1.0,2722,1.0,2.63633,0.0,1.05598,91.0,BSCY,4.0,2019-06-03 01:01,2019-05-25 18:58
0.0,11.0,71.0,46.0,Basel,0.0,25.0,71.0,5.0,2.1513,1.00454,20.0,5.0,20.0,0.0,69.71226,93159,0.0,0.0,989,1.0,2.1253599999999997,0.0,0.9786,71.0,BAS,11.0,2019-06-03 01:01,2019-05-25 18:58
0.0,10.0,46.0,58.0,Thun,0.0,-1.0,57.0,14.0,1.3841,1.5842,12.0,14.0,12.0,0.0,40.92562,83492,0.0,0.0,3024,0.0,1.35816,0.0,1.55826,46.0,THUN,10.0,2019-06-03 01:01,2019-05-25 18:58
0.0,16.0,46.0,49.0,FC Lugano,0.0,1.0,50.0,10.0,1.37931,1.24774,10.0,10.0,10.0,0.0,48.0751,109490,0.0,0.0,7672,0.0,1.35337,0.0,1.2218,46.0,FCL,16.0,2019-06-03 01:01,2019-05-25 18:58
0.0,7.26385,41.71225,55.98125,FC Sion,0.0,-7.5125,48.46875,17.25335,1.2589299999999999,1.37473,11.0,17.0,11.4828,0.0,42.30392,74196,0.0,0.0,3076,0.0,1.23299,0.0,1.34879,40.0,SION,7.0,2019-06-03 01:01,2019-05-25 18:58
0.0,4.0,46.0,61.0,FC Luzern,0.0,-5.0,56.0,18.0,1.6621,1.42124,14.0,18.0,14.0,0.0,50.68777,108331,0.0,0.0,7640,0.0,1.63616,0.0,1.3953,46.0,FCL,4.0,2019-06-03 01:01,2019-05-25 18:58
0.0,10.0,37.0,65.0,Neuchatel Xamax,0.49995,-21.0,44.0,17.0,1.20243,1.52531,9.0,17.0,9.0,0.0,37.77664,74198,0.0,0.0,7698,0.0,1.17649,0.0,1.49937,37.0,NEU,10.0,2019-06-03 01:01,2019-05-25 18:58
0.0,10.26385,26.0239,69.46875,Grasshoppers Zürich,1.0,-36.4875,32.98125,20.4828,0.98321,1.78157,5.0,20.0,5.25335,0.0,27.78236,74189,0.0,0.0,492,0.0,0.95727,0.0,1.75563,25.0,GCZ,10.0,2019-06-03 01:01,2019-05-25 18:58
0.0,7.0,46.0,58.0,St Gallen,0.0,-9.0,49.0,16.0,1.44001,1.40562,13.0,16.0,13.0,0.0,45.98817,74191,0.0,0.0,557,0.0,1.4140700000000002,0.0,1.37968,46.0,FCSG,7.0,2019-06-03 01:01,2019-05-25 18:58
0.0,11.0,44.0,52.0,FC Zurich,0.0,-9.0,43.0,14.0,1.14648,1.3231,11.0,14.0,11.0,0.0,40.597,74192,0.0,0.0,3019,0.0,1.12054,0.0,1.29716,44.0,ZUR,11.0,2019-06-03 01:01,2019-05-25 18:58
0.0,4.0,91.0,36.0,Young Boys,0.0,63.0,99.0,3.0,2.66227,1.08192,29.0,3.0,29.0,1.0,75.91136,74194,0.0,1.0,2722,1.0,2.63633,0.0,1.05598,91.0,BSCY,4.0,2019-06-03 01:01,2019-05-25 18:58
0.0,11.0,71.0,46.0,Basel,0.0,25.0,71.0,5.0,2.1513,1.00454,20.0,5.0,20.0,0.0,69.71226,93159,0.0,0.0,989,1.0,2.12536,0.0,0.9786,71.0,BAS,11.0,2019-06-03 01:01,2019-05-25 18:58
0.0,10.0,46.0,58.0,Thun,0.0,-1.0,57.0,14.0,1.3841,1.5842,12.0,14.0,12.0,0.0,40.92562,83492,0.0,0.0,3024,0.0,1.35816,0.0,1.55826,46.0,THUN,10.0,2019-06-03 01:01,2019-05-25 18:58
0.0,16.0,46.0,49.0,FC Lugano,0.0,1.0,50.0,10.0,1.37931,1.24774,10.0,10.0,10.0,0.0,48.0751,109490,0.0,0.0,7672,0.0,1.35337,0.0,1.2218,46.0,FCL,16.0,2019-06-03 01:01,2019-05-25 18:58
0.0,7.26385,41.71225,55.98125,FC Sion,0.0,-7.5125,48.46875,17.25335,1.25893,1.37473,11.0,17.0,11.4828,0.0,42.30392,74196,0.0,0.0,3076,0.0,1.23299,0.0,1.34879,40.0,SION,7.0,2019-06-03 01:01,2019-05-25 18:58
0.0,4.0,46.0,61.0,FC Luzern,0.0,-5.0,56.0,18.0,1.6621,1.42124,14.0,18.0,14.0,0.0,50.68777,108331,0.0,0.0,7640,0.0,1.63616,0.0,1.3953,46.0,FCL,4.0,2019-06-03 01:01,2019-05-25 18:58
0.0,10.0,37.0,65.0,Neuchatel Xamax,0.49995,-21.0,44.0,17.0,1.2024299999999999,1.52531,9.0,17.0,9.0,0.0,37.77664,74198,0.0,0.0,7698,0.0,1.17649,0.0,1.49937,37.0,NEU,10.0,2019-06-02 01:01,2019-05-25 18:58
0.0,10.26385,26.0239,69.46875,Grasshoppers Zürich,1.0,-36.4875,32.98125,20.4828,0.98321,1.78157,5.0,20.0,5.25335,0.0,27.782359999999997,74189,0.0,0.0,492,0.0,0.9572700000000001,0.0,1.75563,25.0,GCZ,10.0,2019-06-02 01:01,2019-05-25 18:58
0.0,7.0,46.0,58.0,St Gallen,0.0,-9.0,49.0,16.0,1.44001,1.40562,13.0,16.0,13.0,0.0,45.988170000000004,74191,0.0,0.0,557,0.0,1.4140700000000002,0.0,1.37968,46.0,FCSG,7.0,2019-06-02 01:01,2019-05-25 18:58
0.0,11.0,44.0,52.0,FC Zurich,0.0,-9.0,43.0,14.0,1.14648,1.3231,11.0,14.0,11.0,0.0,40.597,74192,0.0,0.0,3019,0.0,1.1205399999999999,0.0,1.29716,44.0,ZUR,11.0,2019-06-02 01:01,2019-05-25 18:58
0.0,4.0,91.0,36.0,Young Boys,0.0,63.0,99.0,3.0,2.66227,1.08192,29.0,3.0,29.0,1.0,75.91136,74194,0.0,1.0,2722,1.0,2.63633,0.0,1.05598,91.0,BSCY,4.0,2019-06-02 01:01,2019-05-25 18:58
0.0,11.0,71.0,46.0,Basel,0.0,25.0,71.0,5.0,2.1513,1.00454,20.0,5.0,20.0,0.0,69.71226,93159,0.0,0.0,989,1.0,2.1253599999999997,0.0,0.9786,71.0,BAS,11.0,2019-06-02 01:01,2019-05-25 18:58
0.0,10.0,46.0,58.0,Thun,0.0,-1.0,57.0,14.0,1.3841,1.5842,12.0,14.0,12.0,0.0,40.92562,83492,0.0,0.0,3024,0.0,1.35816,0.0,1.55826,46.0,THUN,10.0,2019-06-02 01:01,2019-05-25 18:58
0.0,16.0,46.0,49.0,FC Lugano,0.0,1.0,50.0,10.0,1.37931,1.24774,10.0,10.0,10.0,0.0,48.0751,109490,0.0,0.0,7672,0.0,1.35337,0.0,1.2218,46.0,FCL,16.0,2019-06-02 01:01,2019-05-25 18:58
0.0,7.26385,41.71225,55.98125,FC Sion,0.0,-7.5125,48.46875,17.25335,1.2589299999999999,1.37473,11.0,17.0,11.4828,0.0,42.30392,74196,0.0,0.0,3076,0.0,1.23299,0.0,1.34879,40.0,SION,7.0,2019-06-02 01:01,2019-05-25 18:58
0.0,4.0,46.0,61.0,FC Luzern,0.0,-5.0,56.0,18.0,1.6621,1.42124,14.0,18.0,14.0,0.0,50.68777,108331,0.0,0.0,7640,0.0,1.63616,0.0,1.3953,46.0,FCL,4.0,2019-06-02 01:01,2019-05-25 18:58
0.0,10.0,37.0,65.0,Neuchatel Xamax,0.49995,-21.0,44.0,17.0,1.20243,1.52531,9.0,17.0,9.0,0.0,37.77664,74198,0.0,0.0,7698,0.0,1.17649,0.0,1.49937,37.0,NEU,10.0,2019-06-01 01:01,2019-05-25 18:58
0.0,10.26385,26.0239,69.46875,Grasshoppers Zürich,1.0,-36.4875,32.98125,20.4828,0.98321,1.78157,5.0,20.0,5.25335,0.0,27.78236,74189,0.0,0.0,492,0.0,0.95727,0.0,1.75563,25.0,GCZ,10.0,2019-06-01 01:01,2019-05-25 18:58
0.0,7.0,46.0,58.0,St Gallen,0.0,-9.0,49.0,16.0,1.44001,1.40562,13.0,16.0,13.0,0.0,45.98817,74191,0.0,0.0,557,0.0,1.4140700000000002,0.0,1.37968,46.0,FCSG,7.0,2019-06-01 01:01,2019-05-25 18:58
0.0,11.0,44.0,52.0,FC Zurich,0.0,-9.0,43.0,14.0,1.14648,1.3231,11.0,14.0,11.0,0.0,40.597,74192,0.0,0.0,3019,0.0,1.12054,0.0,1.29716,44.0,ZUR,11.0,2019-06-01 01:01,2019-05-25 18:58
0.0,4.0,91.0,36.0,Young Boys,0.0,63.0,99.0,3.0,2.66227,1.08192,29.0,3.0,29.0,1.0,75.91136,74194,0.0,1.0,2722,1.0,2.63633,0.0,1.05598,91.0,BSCY,4.0,2019-06-01 01:01,2019-05-25 18:58
0.0,11.0,71.0,46.0,Basel,0.0,25.0,71.0,5.0,2.1513,1.00454,20.0,5.0,20.0,0.0,69.71226,93159,0.0,0.0,989,1.0,2.12536,0.0,0.9786,71.0,BAS,11.0,2019-06-01 01:01,2019-05-25 18:58
0.0,10.0,46.0,58.0,Thun,0.0,-1.0,57.0,14.0,1.3841,1.5842,12.0,14.0,12.0,0.0,40.92562,83492,0.0,0.0,3024,0.0,1.35816,0.0,1.55826,46.0,THUN,10.0,2019-06-01 01:01,2019-05-25 18:58
0.0,16.0,46.0,49.0,FC Lugano,0.0,1.0,50.0,10.0,1.37931,1.24774,10.0,10.0,10.0,0.0,48.0751,109490,0.0,0.0,7672,0.0,1.35337,0.0,1.2218,46.0,FCL,16.0,2019-06-01 01:01,2019-05-25 18:58
0.0,7.26385,41.71225,55.98125,FC Sion,0.0,-7.5125,48.46875,17.25335,1.25893,1.37473,11.0,17.0,11.4828,0.0,42.30392,74196,0.0,0.0,3076,0.0,1.23299,0.0,1.34879,40.0,SION,7.0,2019-06-01 01:01,2019-05-25 18:58
0.0,4.0,46.0,61.0,FC Luzern,0.0,-5.0,56.0,18.0,1.6621,1.42124,14.0,18.0,14.0,0.0,50.68777,108331,0.0,0.0,7640,0.0,1.63616,0.0,1.3953,46.0,FCL,4.0,2019-06-01 01:01,2019-05-25 18:58
0.0,10.0,37.0,65.0,Neuchatel Xamax,0.49995,-21.0,44.0,17.0,1.2024299999999999,1.52531,9.0,17.0,9.0,0.0,37.77664,74198,0.0,0.0,7698,0.0,1.17649,0.0,1.49937,37.0,NEU,10.0,2019-05-31 01:01,2019-05-25 18:58
0.0,10.26385,26.0239,69.46875,Grasshoppers Zürich,1.0,-36.4875,32.98125,20.4828,0.98321,1.78157,5.0,20.0,5.25335,0.0,27.782359999999997,74189,0.0,0.0,492,0.0,0.9572700000000001,0.0,1.75563,25.0,GCZ,10.0,2019-05-31 01:01,2019-05-25 18:58
0.0,7.0,46.0,58.0,St Gallen,0.0,-9.0,49.0,16.0,1.44001,1.40562,13.0,16.0,13.0,0.0,45.988170000000004,74191,0.0,0.0,557,0.0,1.4140700000000002,0.0,1.37968,46.0,FCSG,7.0,2019-05-31 01:01,2019-05-25 18:58
0.0,11.0,44.0,52.0,FC Zurich,0.0,-9.0,43.0,14.0,1.14648,1.3231,11.0,14.0,11.0,0.0,40.597,74192,0.0,0.0,3019,0.0,1.1205399999999999,0.0,1.29716,44.0,ZUR,11.0,2019-05-31 01:01,2019-05-25 18:58
0.0,4.0,91.0,36.0,Young Boys,0.0,63.0,99.0,3.0,2.66227,1.08192,29.0,3.0,29.0,1.0,75.91136,74194,0.0,1.0,2722,1.0,2.63633,0.0,1.05598,91.0,BSCY,4.0,2019-05-31 01:01,2019-05-25 18:58
0.0,11.0,71.0,46.0,Basel,0.0,25.0,71.0,5.0,2.1513,1.00454,20.0,5.0,20.0,0.0,69.71226,93159,0.0,0.0,989,1.0,2.1253599999999997,0.0,0.9786,71.0,BAS,11.0,2019-05-31 01:01,2019-05-25 18:58
0.0,10.0,46.0,58.0,Thun,0.0,-1.0,57.0,14.0,1.3841,1.5842,12.0,14.0,12.0,0.0,40.92562,83492,0.0,0.0,3024,0.0,1.35816,0.0,1.55826,46.0,THUN,10.0,2019-05-31 01:01,2019-05-25 18:58
0.0,16.0,46.0,49.0,FC Lugano,0.0,1.0,50.0,10.0,1.37931,1.24774,10.0,10.0,10.0,0.0,48.0751,109490,0.0,0.0,7672,0.0,1.35337,0.0,1.2218,46.0,FCL,16.0,2019-05-31 01:01,2019-05-25 18:58
0.0,7.26385,41.71225,55.98125,FC Sion,0.0,-7.5125,48.46875,17.25335,1.2589299999999999,1.37473,11.0,17.0,11.4828,0.0,42.30392,74196,0.0,0.0,3076,0.0,1.23299,0.0,1.34879,40.0,SION,7.0,2019-05-31 01:01,2019-05-25 18:58
0.0,4.0,46.0,61.0,FC Luzern,0.0,-5.0,56.0,18.0,1.6621,1.42124,14.0,18.0,14.0,0.0,50.68777,108331,0.0,0.0,7640,0.0,1.63616,0.0,1.3953,46.0,FCL,4.0,2019-05-31 01:01,2019-05-25 18:58
0.0,10.0,37.0,65.0,Neuchatel Xamax,0.49995,-21.0,44.0,17.0,1.20243,1.52531,9.0,17.0,9.0,0.0,37.77664,74198,0.0,0.0,7698,0.0,1.17649,0.0,1.49937,37.0,NEU,10.0,2019-05-30 01:01,2019-05-25 18:58
0.0,10.26385,26.0239,69.46875,Grasshoppers Zürich,1.0,-36.4875,32.98125,20.4828,0.98321,1.78157,5.0,20.0,5.25335,0.0,27.78236,74189,0.0,0.0,492,0.0,0.95727,0.0,1.75563,25.0,GCZ,10.0,2019-05-30 01:01,2019-05-25 18:58
0.0,7.0,46.0,58.0,St Gallen,0.0,-9.0,49.0,16.0,1.44001,1.40562,13.0,16.0,13.0,0.0,45.98817,74191,0.0,0.0,557,0.0,1.4140700000000002,0.0,1.37968,46.0,FCSG,7.0,2019-05-30 01:01,2019-05-25 18:58
0.0,11.0,44.0,52.0,FC Zurich,0.0,-9.0,43.0,14.0,1.14648,1.3231,11.0,14.0,11.0,0.0,40.597,74192,0.0,0.0,3019,0.0,1.12054,0.0,1.29716,44.0,ZUR,11.0,2019-05-30 01:01,2019-05-25 18:58
0.0,4.0,91.0,36.0,Young Boys,0.0,63.0,99.0,3.0,2.66227,1.08192,29.0,3.0,29.0,1.0,75.91136,74194,0.0,1.0,2722,1.0,2.63633,0.0,1.05598,91.0,BSCY,4.0,2019-05-30 01:01,2019-05-25 18:58
0.0,11.0,71.0,46.0,Basel,0.0,25.0,71.0,5.0,2.1513,1.00454,20.0,5.0,20.0,0.0,69.71226,93159,0.0,0.0,989,1.0,2.12536,0.0,0.9786,71.0,BAS,11.0,2019-05-30 01:01,2019-05-25 18:58
0.0,10.0,46.0,58.0,Thun,0.0,-1.0,57.0,14.0,1.3841,1.5842,12.0,14.0,12.0,0.0,40.92562,83492,0.0,0.0,3024,0.0,1.35816,0.0,1.55826,46.0,THUN,10.0,2019-05-30 01:01,2019-05-25 18:58
0.0,16.0,46.0,49.0,FC Lugano,0.0,1.0,50.0,10.0,1.37931,1.24774,10.0,10.0,10.0,0.0,48.0751,109490,0.0,0.0,7672,0.0,1.35337,0.0,1.2218,46.0,FCL,16.0,2019-05-30 01:01,2019-05-25 18:58
0.0,7.26385,41.71225,55.98125,FC Sion,0.0,-7.5125,48.46875,17.25335,1.25893,1.37473,11.0,17.0,11.4828,0.0,42.30392,74196,0.0,0.0,3076,0.0,1.23299,0.0,1.34879,40.0,SION,7.0,2019-05-30 01:01,2019-05-25 18:58
0.0,4.0,46.0,61.0,FC Luzern,0.0,-5.0,56.0,18.0,1.6621,1.42124,14.0,18.0,14.0,0.0,50.68777,108331,0.0,0.0,7640,0.0,1.63616,0.0,1.3953,46.0,FCL,4.0,2019-05-30 01:01,2019-05-25 18:58
0.0,10.0,37.0,65.0,Neuchatel Xamax,0.49995,-21.0,44.0,17.0,1.2024299999999999,1.52531,9.0,17.0,9.0,0.0,37.77664,74198,0.0,0.0,7698,0.0,1.17649,0.0,1.49937,37.0,NEU,10.0,2019-05-30 01:01,2019-05-25 18:58
0.0,10.26385,26.0239,69.46875,Grasshoppers Zürich,1.0,-36.4875,32.98125,20.4828,0.98321,1.78157,5.0,20.0,5.25335,0.0,27.782359999999997,74189,0.0,0.0,492,0.0,0.9572700000000001,0.0,1.75563,25.0,GCZ,10.0,2019-05-30 01:01,2019-05-25 18:58
0.0,7.0,46.0,58.0,St Gallen,0.0,-9.0,49.0,16.0,1.44001,1.40562,13.0,16.0,13.0,0.0,45.988170000000004,74191,0.0,0.0,557,0.0,1.4140700000000002,0.0,1.37968,46.0,FCSG,7.0,2019-05-30 01:01,2019-05-25 18:58
0.0,11.0,44.0,52.0,FC Zurich,0.0,-9.0,43.0,14.0,1.14648,1.3231,11.0,14.0,11.0,0.0,40.597,74192,0.0,0.0,3019,0.0,1.1205399999999999,0.0,1.29716,44.0,ZUR,11.0,2019-05-30 01:01,2019-05-25 18:58
0.0,4.0,91.0,36.0,Young Boys,0.0,63.0,99.0,3.0,2.66227,1.08192,29.0,3.0,29.0,1.0,75.91136,74194,0.0,1.0,2722,1.0,2.63633,0.0,1.05598,91.0,BSCY,4.0,2019-05-30 01:01,2019-05-25 18:58
0.0,11.0,71.0,46.0,Basel,0.0,25.0,71.0,5.0,2.1513,1.00454,20.0,5.0,20.0,0.0,69.71226,93159,0.0,0.0,989,1.0,2.1253599999999997,0.0,0.9786,71.0,BAS,11.0,2019-05-30 01:01,2019-05-25 18:58
0.0,10.0,46.0,58.0,Thun,0.0,-1.0,57.0,14.0,1.3841,1.5842,12.0,14.0,12.0,0.0,40.92562,83492,0.0,0.0,3024,0.0,1.35816,0.0,1.55826,46.0,THUN,10.0,2019-05-30 01:01,2019-05-25 18:58
0.0,16.0,46.0,49.0,FC Lugano,0.0,1.0,50.0,10.0,1.37931,1.24774,10.0,10.0,10.0,0.0,48.0751,109490,0.0,0.0,7672,0.0,1.35337,0.0,1.2218,46.0,FCL,16.0,2019-05-30 01:01,2019-05-25 18:58
0.0,7.26385,41.71225,55.98125,FC Sion,0.0,-7.5125,48.46875,17.25335,1.2589299999999999,1.37473,11.0,17.0,11.4828,0.0,42.30392,74196,0.0,0.0,3076,0.0,1.23299,0.0,1.34879,40.0,SION,7.0,2019-05-30 01:01,2019-05-25 18:58
0.0,4.0,46.0,61.0,FC Luzern,0.0,-5.0,56.0,18.0,1.6621,1.42124,14.0,18.0,14.0,0.0,50.68777,108331,0.0,0.0,7640,0.0,1.63616,0.0,1.3953,46.0,FCL,4.0,2019-05-30 01:01,2019-05-25 18:58
0.0,10.0,37.0,65.0,Neuchatel Xamax,0.49995,-21.0,44.0,17.0,1.20243,1.52531,9.0,17.0,9.0,0.0,37.77664,74198,0.0,0.0,7698,0.0,1.17649,0.0,1.49937,37.0,NEU,10.0,2019-05-29 01:01,2019-05-25 18:58
0.0,10.26385,26.0239,69.46875,Grasshoppers Zürich,1.0,-36.4875,32.98125,20.4828,0.98321,1.78157,5.0,20.0,5.25335,0.0,27.78236,74189,0.0,0.0,492,0.0,0.95727,0.0,1.75563,25.0,GCZ,10.0,2019-05-29 01:01,2019-05-25 18:58
0.0,7.0,46.0,58.0,St Gallen,0.0,-9.0,49.0,16.0,1.44001,1.40562,13.0,16.0,13.0,0.0,45.98817,74191,0.0,0.0,557,0.0,1.4140700000000002,0.0,1.37968,46.0,FCSG,7.0,2019-05-29 01:01,2019-05-25 18:58
0.0,11.0,44.0,52.0,FC Zurich,0.0,-9.0,43.0,14.0,1.14648,1.3231,11.0,14.0,11.0,0.0,40.597,74192,0.0,0.0,3019,0.0,1.12054,0.0,1.29716,44.0,ZUR,11.0,2019-05-29 01:01,2019-05-25 18:58
0.0,4.0,91.0,36.0,Young Boys,0.0,63.0,99.0,3.0,2.66227,1.08192,29.0,3.0,29.0,1.0,75.91136,74194,0.0,1.0,2722,1.0,2.63633,0.0,1.05598,91.0,BSCY,4.0,2019-05-29 01:01,2019-05-25 18:58
0.0,11.0,71.0,46.0,Basel,0.0,25.0,71.0,5.0,2.1513,1.00454,20.0,5.0,20.0,0.0,69.71226,93159,0.0,0.0,989,1.0,2.12536,0.0,0.9786,71.0,BAS,11.0,2019-05-29 01:01,2019-05-25 18:58
0.0,10.0,46.0,58.0,Thun,0.0,-1.0,57.0,14.0,1.3841,1.5842,12.0,14.0,12.0,0.0,40.92562,83492,0.0,0.0,3024,0.0,1.35816,0.0,1.55826,46.0,THUN,10.0,2019-05-29 01:01,2019-05-25 18:58
0.0,16.0,46.0,49.0,FC Lugano,0.0,1.0,50.0,10.0,1.37931,1.24774,10.0,10.0,10.0,0.0,48.0751,109490,0.0,0.0,7672,0.0,1.35337,0.0,1.2218,46.0,FCL,16.0,2019-05-29 01:01,2019-05-25 18:58
0.0,7.26385,41.71225,55.98125,FC Sion,0.0,-7.5125,48.46875,17.25335,1.25893,1.37473,11.0,17.0,11.4828,0.0,42.30392,74196,0.0,0.0,3076,0.0,1.23299,0.0,1.34879,40.0,SION,7.0,2019-05-29 01:01,2019-05-25 18:58
0.0,4.0,46.0,61.0,FC Luzern,0.0,-5.0,56.0,18.0,1.6621,1.42124,14.0,18.0,14.0,0.0,50.68777,108331,0.0,0.0,7640,0.0,1.63616,0.0,1.3953,46.0,FCL,4.0,2019-05-29 01:01,2019-05-25 18:58
0.0,10.0,37.0,65.0,Neuchatel Xamax,0.49995,-21.0,44.0,17.0,1.2024299999999999,1.52531,9.0,17.0,9.0,0.0,37.77664,74198,0.0,0.0,7698,0.0,1.17649,0.0,1.49937,37.0,NEU,10.0,2019-05-29 01:01,2019-05-25 18:58
0.0,10.26385,26.0239,69.46875,Grasshoppers Zürich,1.0,-36.4875,32.98125,20.4828,0.98321,1.78157,5.0,20.0,5.25335,0.0,27.782359999999997,74189,0.0,0.0,492,0.0,0.9572700000000001,0.0,1.75563,25.0,GCZ,10.0,2019-05-29 01:01,2019-05-25 18:58
0.0,7.0,46.0,58.0,St Gallen,0.0,-9.0,49.0,16.0,1.44001,1.40562,13.0,16.0,13.0,0.0,45.988170000000004,74191,0.0,0.0,557,0.0,1.4140700000000002,0.0,1.37968,46.0,FCSG,7.0,2019-05-29 01:01,2019-05-25 18:58
0.0,11.0,44.0,52.0,FC Zurich,0.0,-9.0,43.0,14.0,1.14648,1.3231,11.0,14.0,11.0,0.0,40.597,74192,0.0,0.0,3019,0.0,1.1205399999999999,0.0,1.29716,44.0,ZUR,11.0,2019-05-29 01:01,2019-05-25 18:58
0.0,4.0,91.0,36.0,Young Boys,0.0,63.0,99.0,3.0,2.66227,1.08192,29.0,3.0,29.0,1.0,75.91136,74194,0.0,1.0,2722,1.0,2.63633,0.0,1.05598,91.0,BSCY,4.0,2019-05-29 01:01,2019-05-25 18:58
0.0,11.0,71.0,46.0,Basel,0.0,25.0,71.0,5.0,2.1513,1.00454,20.0,5.0,20.0,0.0,69.71226,93159,0.0,0.0,989,1.0,2.1253599999999997,0.0,0.9786,71.0,BAS,11.0,2019-05-29 01:01,2019-05-25 18:58
0.0,10.0,46.0,58.0,Thun,0.0,-1.0,57.0,14.0,1.3841,1.5842,12.0,14.0,12.0,0.0,40.92562,83492,0.0,0.0,3024,0.0,1.35816,0.0,1.55826,46.0,THUN,10.0,2019-05-29 01:01,2019-05-25 18:58
